ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
124871;Auditoria 2.0 - CriaÁ„o de Data Lake para implementaÁ„o de Auditoria†ContÌnua e Auditoria ‡ Distancia - Entrega Modelos AnalÌticos;ACR;Mail;Corporate;In Definition;1;;;;
107765;Novas regras RCTO - Lista de Profissıes;ACR;Mail;Corporate;In Definition;2;;;;
86986;IQL | Incremento 1 | IQL com loja dummy e data IQL;ACR;Mail;Corporate;Backlog;3;;;;
46214;Canal de Den˙ncias;ACR;Mail;Corporate;Backlog;4;;;;
130413;"[DesconexiÛn SGC] - CreaciÛn nuevo estado ""No realizado""";ATC;eCommerce;Corporate;High Level Design;1;;;;
130298;[DesconexiÛn SGC] [Salesforce Service] - Abonos, Siniestros e indemnizaciones;ATC;eCommerce;Corporate;In Definition;2;;;;
129830;[DesconexiÛn SGC] [Nexia] - Consulta masiva de envÌos y acciones sobre los resultados + export/import en Excel;ATC;eCommerce;Corporate;In Definition;3;;;;
129869;[DesconexiÛn SGC] [Salesforce Service] - CreaciÛn de flujos de trabajo entre Salesforce-Service y Nexia;ATC;eCommerce;Corporate;In Solution;4;;;;
129677;[Seguridad] PDA Planta (TO)/GestiÛn de Planta/ AuditorÌa de seguridad/Control de conductores;ATC;eCommerce;Corporate;In Solution;5;;;;
129829;[DesconexiÛn SGC] [Salesforce] - IntegraciÛn de GoContact IVR con el Cloud (Service);ATC;eCommerce;Corporate;In Solution;6;;;;
130832;"Cierre administrativo autom·tico - ""Evitar pasar a Entregado Administrativo envÌos que tienen un estado entregado y posteriormente se abre una caso en Salesforce y cambia a otro estado""";ATC;eCommerce;Corporate;In Definition;7;;;;
129583;[Mejora Calidad Servicio] - PDA - Envios Multibulto (aplicar logica de causa propia - ajena) (TO);ATC;eCommerce;Corporate;In Definition;8;;;;
130691;[Salesforce] - Usuario / Origen de una acciÛn sobre un envÌo en la trazabilidad desde ATC;ATC;eCommerce;Corporate;High Level Design;9;;;;
129576;[Salesforce Service] - Incidencias C. Propia/Automatizar incidencias en SF (marcar prioridad en SENDA desde IVR y Web);ATC;eCommerce;Corporate;Pitch;10;;;;
129588;[DesconexiÛn SGC] [Salesforce Service] - MigraciÛn del AlmacÈn regulador? de SGC;ATC;eCommerce;Corporate;Backlog;11;;;;
129960;[Portal del Proveedor] Nuevas funcionalidades - Bloqueo Repartidor Seguridad;ATC;eCommerce;Corporate;In Definition;12;;;;
129503;[Qlik] - MigraciÛn y redifiniciÛn de App Notifications Analytics - Cloud;ATC;eCommerce;Corporate;In Definition;13;;;;
129736;[Salesforce Service] - Reglas de cierre y respuesta autom·tica de casos de envÌos estacionados o ubicados;ATC;eCommerce;Corporate;In Definition;14;;;;
129508;[Qlik] - Nueva App Plan de Acogida y AcompaÒamiento;ATC;eCommerce;Corporate;In Definition;15;;;;
129878;[Qlik Sense] Mapa de Red;ATC;eCommerce;Corporate;In Definition;16;;;;
130921;SLA S·bados y Domingos;ATC;eCommerce;Corporate;Backlog;17;;;;
130104;"KPI ""DÌas backlog envÌos"" en app de an·lisis de calidad del reparto";ATC;eCommerce;Corporate;In Definition;18;;;;
130519;Maestro festivos provinciales en c·lculos de fechas de compromiso;ATC;eCommerce;Corporate;In Solution;19;;;;
129543;[Salesforce†Service]? - Reexpedir -recanalizar- y destruir un envÌo por parte del equipo de ATC;ATC;eCommerce;Corporate;In Definition;20;;;;
129569;[DesconexiÛn SGC] [QLIK] Calidad de Recogidas App QLIK;ATC;eCommerce;Corporate;Backlog;21;;;;
129506;[Qlik] - Nprinting - Informe efectividad de red;ATC;eCommerce;Corporate;In Definition;22;;;;
130328;C·lculo de festivos provinciales (caso PaÌs Vasco);ATC;eCommerce;Corporate;Backlog;23;;;;
