ID;Name;RequestingArea;RevenueStream_origin;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size;RevenueStream
140213;Geopostal 2026;EDO;Business Solutions;Operations;Backlog;18;;;;;Mail & Services
140064;Evolutivos Nave - Março e Abril;GS;Mail;Commercial;Backlog;23;2;2;2;1;Mail & Services
139747;Integração da API do AEDoc no Projeto – Nova Arquitetura de Aceitação;GPG;Payments;Technology;Backlog;16;3;1;2;2;Mail & Services
139693;Área de Cliente CTT - Empresas | Agile Way MAR e ABR 2026;DNI;Mail;Commercial;Backlog;7;;;;;Mail & Services
139615;Automatização da alocação das recolhas (Correio Registado Locker);SEO;Mail;Operations;Backlog;1;;;;;Mail & Services
139369;Aviso de Entrega Digital;GP B2B;Mail;Commercial;Backlog;7;;;;;Mail & Services
139342;SLA - Migração para GitHub;SI-OPS;Mail;Technology;Ready for Solution;4;4;3;3;3;Mail & Services
50994;APT | Mata Aplicações - Wave 1.13;SI;Mail;Technology;Backlog;100;;;;;Mail & Services
141797;PoC Modernização Tecnológica com AI;SI;Mail;Technology;Backlog;2;;;;;Mail & Services
135517;Renovação Infoblox - Grid, DNS, DHCP, NTP e IPAM;SI;Mail;Technology;Backlog;1;;;;;Mail & Services
138585;Mapear Contatos de Remetente p/ contactos CTT | Objetos DHL (Internacional Expresso);GP ECL;eCommerce;Commercial;In Definition;8;1;1;1;2;Mail & Services
138559;Postman Digital Brain - Fase 3;EDO;Mail;Operations;Backlog;19;;;;;Mail & Services
138419;Envios OLX | Retirar Certificado de Aceitação;GP ECL;eCommerce;Commercial;Backlog;12;3;1;1;;Mail & Services
125543;ODIN | Iberian Observability Stack;SI;eCommerce;Technology;Ready for Approval;3;3;1;1;2;Mail & Services
96332;CCP | OTP | Rebuild application in the current tech stack;SI;eCommerce;Technology;High Level Design;4;;;;;Mail & Services
134357;Github Migration - Ecossistema Expresso ADO2Github;SI;Mail;Technology;In Approval;5;4;3;3;2;Mail & Services
126586;Renovação core LAN Porto;SI;Mail;Technology;In Solution;6;5;2;2;3;Mail & Services
180670;INT | IBM Sterling File Gateway - implementar balanceamento;SI;Mail;Technology;In Solution;7;;;;;Mail & Services
137466;Configuração do pagamento de faturas no Locky;GPG;Payments;Technology;Backlog;15;;;;;Mail & Services
136994;DSD | Organizar Rota (Zona e Ordenação ) no Mobi;EDO;Mail;Operations;Backlog;6;;;;;Mail & Services
136987;DSD | Leitura do Correio Azul e Registado no Mobi;EDO;Mail;Operations;Backlog;5;;;;;Mail & Services
136984;DSD | Atualizar a Informação Ficha de Registo - Sistema Solistic;EDO;Mail;Operations;Backlog;4;;;;;Mail & Services
136982;DSD | Mobi - Permitir a Leitura do Código Laranja do Correio Azul;EDO;Mail;Operations;Backlog;3;;;;;Mail & Services
136621;Relatórios Mensais para Novo Modelo Operativo - Postos não NAVe;GPG;Payments;Commercial;Backlog;14;;;;;Mail & Services
136320;Eliminar aplicativo de envio internacional online legado;GP B2B;Mail;Commercial;Backlog;25;3;3;4;2;Mail & Services
135540;Business Solutions - Recibos Online - Evolutivos 1B 2026 (janeiro e fevereiro);GP B2B;Business Solutions;Commercial;In Approval;27;2;2;2;2;Mail & Services
135537;Business Solutions - STICO - Evolutivos 1B 2026 (janeiro e fevereiro);GP B2B;Business Solutions;Commercial;In Approval;28;3;2;2;2;Mail & Services
135529;Business Solutions - P&F - Evolutivos 1B 2026 (janeiro e fevereiro);GP B2B;Business Solutions;Commercial;In Approval;29;3;2;2;2;Mail & Services
135525;Business Solutions - Evolutivos 1B 2026 (janeiro e fevereiro);GP B2B;Business Solutions;Commercial;In Approval;30;3;2;3;2;Mail & Services
132957;Github Migration - ParcelInfo;SI;Mail;Technology;Backlog;8;;;;;Mail & Services
135317;SAPSF - GoFluent;GT;Mail;Corporate;In Definition;1;2;2;1;2;Mail & Services
135288;Desenvolvimentos CNE no âmbito do Correio Inteligente;GP B2B;Business Solutions;Commercial;In Definition;4;;;;;Mail & Services
127624;Implementação QuickWins MagicBeans;SI;Mail;Technology;Backlog;9;;;;;Mail & Services
134997;Correio Inteligente - Alarmística;GP B2B;Business Solutions;Commercial;In Definition;2;;;;;Mail & Services
134943;STICO - Migração de Pipelines ADO2Github;GP B2B;Mail;Commercial;High Level Design;5;4;;3;3;Mail & Services
134832;Eliminação TLS 1.0 - Comunicação info T&T com MEO;SI-OPS;eCommerce;Technology;In Definition;6;;3;4;2;Mail & Services
134801;Amazon | Serviço POD (Prova de Entrega);GP ECL;eCommerce;Commercial;Backlog;19;;;;;Mail & Services
134587;BCTT - Relatório Sendgrid;BCTT;Mail;Technology;High Level Design;1;3;;2;1;Mail & Services
132061;Migração ADO2GitHub - Pipeline ODM;SI;Mail;Technology;Ready for Solution;10;2;4;4;1;Mail & Services
133856;Teste Silvia (temporario);TF;eCommerce;Corporate;Backlog;3;1;;;;Mail & Services
133470;Correio Inteligente - FTP para P&F;GP B2B;Business Solutions;Commercial;Backlog;8;;;;;Mail & Services
133251;Evolutivas SAP - Mapeamentos contabilisticos & testes;GPG;Payments;Commercial;Ready for Development;17;5;2;1;2;Mail & Services
133243;Citrix nas lojas - Análise para Eliminação / substituição;GS;Mail;Commercial;Backlog;25;;;;;Mail & Services
132218;CCP | Notifications | Refactor application to meet CCP patterns;SI;Mail;Technology;Backlog;11;3;2;1;1;Mail & Services
132956;TFS Migration - NAVE;SI;Mail;Technology;Ready for Solution;12;;;;;Mail & Services
132425;"Disponibilizar o produto Correio Registado internacional no aplicativo  ""Criar envio de Correio ou Expresso""";GP B2B;Mail;Commercial;In Definition;21;3;3;3;2;Mail & Services
127626;Expurgo automatic sharepoint e Team;SI;Mail;Technology;Backlog;13;;;;;Mail & Services
124021;ODIN | Separação dos clusters ODIN (IDP) por unidade de negócio;SI;Mail;Technology;High Level Design;14;;;;;Mail & Services
98564;CCP | Commercial Catalog | Synchronization with SAP;SI;Mail;Technology;Backlog;15;;;;;Mail & Services
132298;Github Migration - Aplicações Canais Digitais;SI;Mail;Technology;In Approval;16;4;3;3;2;Mail & Services
138855;Redução de Custos em Cloud;SI;Mail;Technology;In Definition;17;;;;;Mail & Services
137512;Integração - Migração ADO2GitHub - Kafka Conectors;SI;Mail;Technology;Ready for Solution;18;;;;;Mail & Services
140431;Novo Catalogo de Aplicações (Atlas 2.0);SI;Mail;Technology;Backlog;19;;;;;Mail & Services
