ID;Name;RequestingArea;RevenueStream;BudgetGroup;MicroPhase;PriorityRA;Value;Urgency;Risk;Size
139490;[NEXUS]- PRODUCTO CTT RETORNO;CMO;eCommerce;Commercial;Backlog;999;;;;
139483;WS - Mejorar Experiencia en PUDO's;CMO;eCommerce;Commercial;In Definition;999;;;;
139449;Mejora control horario y ocultación campos no registrables;COO;eCommerce;Operations;Backlog;999;2;1;2;2
139346;WS - Mejorar Experiencia en PUDO's;CMO;eCommerce;Commercial;Ready for Development;999;;;;
139282;[PUDOS] Recoger y mostrar a destinatarios y repartidores, información adicional de la ubicación y acceso a los Lockys;CMO;eCommerce;Commercial;In Definition;999;;;;
139048;[Nexus - We Sell] - [Minerva] - Creación del modelo tarifario dentro de Minerva para el servicio de Correo;CCO;eCommerce;Commercial;Backlog;999;;;;
139047;[Nexus - We Sell] - Onboarding de las Lojas de PT en Proceso Comercial Salesforce;CCO;eCommerce;Commercial;Backlog;999;;;;
138573;[PUDOS]-[QLIK] App/Hoja de analítica de incidencias en PUDOs;CMO;eCommerce;Commercial;In Definition;999;;;;
138420;[PUDOS] Reservas y aceptación de envíos a PUDO - Verificar si el punto está activado/desactivado por PUDOS para dar el OK;CMO;eCommerce;Commercial;In Definition;999;;;;
138350;[NEXUS]-[OOH] - LMS Integration;CMO;eCommerce;Commercial;High Level Design;9;;;;
138308;[Notificaciones] - Actualización de campos de PDA y notificación de entrega - Fake Delivery;CMO;eCommerce;Commercial;Ready for Solution;7;;;;
138224;[NEXUS] Servicio de Intentos de entrega Flexible;CMO;eCommerce;Commercial;In Definition;999;;;;
138211;INTEGRACIÓN BEWOR;COO;eCommerce;Operations;Backlog;999;;;;
138125;[PUDOS] - [QLIK] - Evolutivo de app RDP de Qlik;CMO;Business Solutions;Commercial;In Definition;999;;;;
138044;[NexIA] - Shipping Simulator - Evolución;CMO;eCommerce;Commercial;Backlog;999;;;;
137662;Teste ASC Epic Title (ex initiative);AVC;eCommerce;Corporate;Backlog;999;;;;
137533;Epic Title (ex initiative);CIO;Retail & Financial Services;Technology;;999;;;;
137457;ENVIOS CARGO-DESTINO PT;CFO;eCommerce;Corporate;Backlog;999;;;;
137343;Mapper - Personalizacion para clientes que trabajan con Amazon , TikTok y Temu;IDC;eCommerce;Commercial;In Definition;999;;;;
137246;[PUDOS] - Tools for managing own network;CMO;eCommerce;Commercial;Backlog;999;5;;;4
137212;"API PUDO - Consulta de informacion de punto por el codigo de punto ""organic point code""";IDC;eCommerce;Commercial;In Definition;999;;;;
137068;End point to get Georeferences from listed addresses;CMO;eCommerce;Commercial;In Definition;999;3;2;1;1
136973;[Salesforce Sales] - Incorporación de nuevos Subsegmentos SME;CCO;eCommerce;Commercial;Backlog;47;;;;
