RequestingArea;RevenueStream;BudgetGroup;Weight
CISO;Business Solutions;CISO;5,0
CSI;Business Solutions;Commercial;4,0
CTTE;Business Solutions;Commercial;4,0
DNI;Business Solutions;Commercial;4,0
ECM;Business Solutions;Commercial;4,0
GP B2B;Business Solutions;Commercial;8,0
GP B2C;Business Solutions;Commercial;4,0
GP ECL;Business Solutions;Commercial;4,0
GPG;Business Solutions;Commercial;4,0
GS;Business Solutions;Commercial;4,0
ACR;Business Solutions;Corporate;1,428571429
AVC;Business Solutions;Corporate;1,428571429
CF;Business Solutions;Corporate;2,857142857
CL;Business Solutions;Corporate;1,428571429
CMP;Business Solutions;Corporate;1,428571429
DPO;Business Solutions;Corporate;1,428571429
FL;Business Solutions;Corporate;1,428571429
GRH;Business Solutions;Corporate;1,428571429
GT;Business Solutions;Corporate;1,428571429
PC;Business Solutions;Corporate;1,428571429
RS;Business Solutions;Corporate;1,428571429
ST;Business Solutions;Corporate;1,428571429
TF;Business Solutions;Corporate;1,428571429
EDO;Business Solutions;Operations;3,333333333
EM;Business Solutions;Operations;3,333333333
SEO;Business Solutions;Operations;3,333333333
BCTT;Business Solutions;Technology;4,0
SI;Business Solutions;Technology;4,0
SI-CRP;Business Solutions;Technology;4,0
SI-OPS;Business Solutions;Technology;4,0
SI-PRD;Business Solutions;Technology;4,0
CISO;eCommerce;CISO;5,0
CCO;eCommerce;Commercial;2,941176471
CMO;eCommerce;Commercial;2,941176471
CSI;eCommerce;Commercial;1,470588235
CTTE;eCommerce;Commercial;1,470588235
DNI;eCommerce;Commercial;1,470588235
ECM;eCommerce;Commercial;1,470588235
GP B2B;eCommerce;Commercial;1,470588235
GP B2C;eCommerce;Commercial;1,470588235
GP ECL;eCommerce;Commercial;2,941176471
GPG;eCommerce;Commercial;1,470588235
GS;eCommerce;Commercial;2,941176471
IDC;eCommerce;Commercial;2,941176471
ACR;eCommerce;Corporate;0,909090909
ATC;eCommerce;Corporate;1,818181818
AVC;eCommerce;Corporate;0,909090909
CF;eCommerce;Corporate;1,818181818
CFO;eCommerce;Corporate;1,818181818
CHR;eCommerce;Corporate;0,909090909
CL;eCommerce;Corporate;0,909090909
CMP;eCommerce;Corporate;0,909090909
COM;eCommerce;Corporate;0,909090909
DPO;eCommerce;Corporate;0,909090909
FL;eCommerce;Corporate;0,909090909
GRH;eCommerce;Corporate;0,909090909
GT;eCommerce;Corporate;0,909090909
PC;eCommerce;Corporate;1,818181818
PRO;eCommerce;Corporate;0,909090909
RS;eCommerce;Corporate;0,909090909
ST;eCommerce;Corporate;0,909090909
TF;eCommerce;Corporate;0,909090909
COO;eCommerce;Operations;8,333333333
EDO;eCommerce;Operations;8,333333333
