RequestingArea;BudgetGroup;RevenueStream;Weight
CISO;CISO;Business Solutions;100
CSI;Commercial;Business Solutions;5,882352941
CTTE;Commercial;Business Solutions;5,882352941
DNI;Commercial;Business Solutions;5,882352941
ECM;Commercial;Business Solutions;5,882352941
GP B2B;Commercial;Business Solutions;29,41176471
GP B2C;Commercial;Business Solutions;5,882352941
GP ECL;Commercial;Business Solutions;5,882352941
GPG;Commercial;Business Solutions;5,882352941
GS;Commercial;Business Solutions;29,41176471
ACR;Corporate;Business Solutions;7,692307692
AVC;Corporate;Business Solutions;7,692307692
CF;Corporate;Business Solutions;7,692307692
CL;Corporate;Business Solutions;7,692307692
CMP;Corporate;Business Solutions;7,692307692
DPO;Corporate;Business Solutions;7,692307692
FL;Corporate;Business Solutions;7,692307692
GRH;Corporate;Business Solutions;7,692307692
GT;Corporate;Business Solutions;7,692307692
PC;Corporate;Business Solutions;7,692307692
RS;Corporate;Business Solutions;7,692307692
ST;Corporate;Business Solutions;7,692307692
TF;Corporate;Business Solutions;7,692307692
EDO;Operations;Business Solutions;41,66666667
EM;Operations;Business Solutions;8,333333333
SEO;Operations;Business Solutions;41,66666667
EM;Operations;Business Solutions;8,333333333
BCTT;Technology;Business Solutions;11,11111111
SI;Technology;Business Solutions;55,55555556
SI-CRP;Technology;Business Solutions;11,11111111
SI-OPS;Technology;Business Solutions;11,11111111
SI-PRD;Technology;Business Solutions;11,11111111
CISO;CISO;Mail;100
CSI;Commercial;Mail;5,882352941
CTTE;Commercial;Mail;5,882352941
DNI;Commercial;Mail;5,882352941
ECM;Commercial;Mail;5,882352941
GP B2B;Commercial;Mail;29,41176471
GP B2C;Commercial;Mail;5,882352941
GP ECL;Commercial;Mail;5,882352941
GPG;Commercial;Mail;5,882352941
GS;Commercial;Mail;29,41176471
ACR;Corporate;Mail;7,692307692
AVC;Corporate;Mail;7,692307692
CF;Corporate;Mail;7,692307692
CL;Corporate;Mail;7,692307692
CMP;Corporate;Mail;7,692307692
DPO;Corporate;Mail;7,692307692
FL;Corporate;Mail;7,692307692
GRH;Corporate;Mail;7,692307692
GT;Corporate;Mail;7,692307692
PC;Corporate;Mail;7,692307692
RS;Corporate;Mail;7,692307692
ST;Corporate;Mail;7,692307692
TF;Corporate;Mail;7,692307692
EDO;Operations;Mail;41,66666667
EM;Operations;Mail;8,333333333
SEO;Operations;Mail;41,66666667
EM;Operations;Mail;8,333333333
BCTT;Technology;Mail;11,11111111
SI;Technology;Mail;55,55555556
SI-CRP;Technology;Mail;11,11111111
SI-OPS;Technology;Mail;11,11111111
SI-PRD;Technology;Mail;11,11111111
CISO;CISO;eCommerce;100
CSI;Commercial;eCommerce;3,125
CTTE;Commercial;eCommerce;3,125
DNI;Commercial;eCommerce;3,125
ECM;Commercial;eCommerce;3,125
GP B2B;Commercial;eCommerce;3,125
GP B2C;Commercial;eCommerce;3,125
GP ECL;Commercial;eCommerce;15,625
GPG;Commercial;eCommerce;3,125
GS;Commercial;eCommerce;15,625
ACR;Corporate;eCommerce;3,846153846
AVC;Corporate;eCommerce;3,846153846
CF;Corporate;eCommerce;3,846153846
CL;Corporate;eCommerce;3,846153846
CMP;Corporate;eCommerce;3,846153846
DPO;Corporate;eCommerce;3,846153846
FL;Corporate;eCommerce;3,846153846
GRH;Corporate;eCommerce;3,846153846
GT;Corporate;eCommerce;3,846153846
PC;Corporate;eCommerce;3,846153846
RS;Corporate;eCommerce;3,846153846
ST;Corporate;eCommerce;3,846153846
TF;Corporate;eCommerce;3,846153846
EDO;Operations;eCommerce;38,46153846
EM;Operations;eCommerce;7,692307692
SEO;Operations;eCommerce;7,692307692
EM;Operations;eCommerce;7,692307692
BCTT;Technology;eCommerce;7,142857143
SI;Technology;eCommerce;35,71428571
SI-CRP;Technology;eCommerce;7,142857143
SI-OPS;Technology;eCommerce;7,142857143
SI-PRD;Technology;eCommerce;7,142857143
CISO;CISO;Payments;100
CSI;Commercial;Payments;5,882352941
CTTE;Commercial;Payments;5,882352941
DNI;Commercial;Payments;5,882352941
ECM;Commercial;Payments;5,882352941
GP B2B;Commercial;Payments;5,882352941
GP B2C;Commercial;Payments;5,882352941
GP ECL;Commercial;Payments;5,882352941
GPG;Commercial;Payments;29,41176471
GS;Commercial;Payments;29,41176471
ACR;Corporate;Payments;7,692307692
AVC;Corporate;Payments;7,692307692
CF;Corporate;Payments;7,692307692
CL;Corporate;Payments;7,692307692
CMP;Corporate;Payments;7,692307692
DPO;Corporate;Payments;7,692307692
FL;Corporate;Payments;7,692307692
GRH;Corporate;Payments;7,692307692
GT;Corporate;Payments;7,692307692
PC;Corporate;Payments;7,692307692
RS;Corporate;Payments;7,692307692
ST;Corporate;Payments;7,692307692
TF;Corporate;Payments;7,692307692
EDO;Operations;Payments;41,66666667
EM;Operations;Payments;8,333333333
SEO;Operations;Payments;41,66666667
EM;Operations;Payments;8,333333333
BCTT;Technology;Payments;11,11111111
SI;Technology;Payments;55,55555556
SI-CRP;Technology;Payments;11,11111111
SI-OPS;Technology;Payments;11,11111111
SI-PRD;Technology;Payments;11,11111111
CISO;CISO;Retail & Financial Services;100
CSI;Commercial;Retail & Financial Services;5,882352941
CTTE;Commercial;Retail & Financial Services;5,882352941
DNI;Commercial;Retail & Financial Services;5,882352941
ECM;Commercial;Retail & Financial Services;5,882352941
GP B2B;Commercial;Retail & Financial Services;5,882352941
GP B2C;Commercial;Retail & Financial Services;29,41176471
GP ECL;Commercial;Retail & Financial Services;5,882352941
GPG;Commercial;Retail & Financial Services;5,882352941
GS;Commercial;Retail & Financial Services;29,41176471
ACR;Corporate;Retail & Financial Services;7,692307692
AVC;Corporate;Retail & Financial Services;7,692307692
CF;Corporate;Retail & Financial Services;7,692307692
CL;Corporate;Retail & Financial Services;7,692307692
CMP;Corporate;Retail & Financial Services;7,692307692
DPO;Corporate;Retail & Financial Services;7,692307692
FL;Corporate;Retail & Financial Services;7,692307692
GRH;Corporate;Retail & Financial Services;7,692307692
GT;Corporate;Retail & Financial Services;7,692307692
PC;Corporate;Retail & Financial Services;7,692307692
RS;Corporate;Retail & Financial Services;7,692307692
ST;Corporate;Retail & Financial Services;7,692307692
TF;Corporate;Retail & Financial Services;7,692307692
EDO;Operations;Retail & Financial Services;41,66666667
EM;Operations;Retail & Financial Services;8,333333333
